groupid,url,title,review_id,sentence_id,text,label_m,metadata-year,metadata-other,label_perplexity,label_copilot,label
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,1,1,"Jako ljubazan, stručan, voljan pomoći.",2,2025,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,1,2,"Sasluša pacijenta i procijeni što je najbolje učiniti kako bi se riješile tegobe - u mom slučaju, kako bih uopće došla do konačne dijagnoze.",2,2025,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,1,3,Jedan od rijetkih doktora koji želi znati sve tegobe neovisno jesu li isključivo vezane za njegovo područje.,2,2025,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,1,Najbolji neurokirurg kojeg sam upoznala.,2,2024,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,2,"Spasio me od nepokretnosti, života u bolovima i nemoći.",2,2024,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,3,Stopalo desne noge je palo (nervus peroneus).,2,2024,,1,1,1
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,4,Nakon operacije svi bolovi su nestali a stopalo se sa vremenom uz fizikalnu terapiju vratilo u funkciju.,2,2024,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,3,1,"Dragi svi, Operirala sam lumbalni dio kraljeznice 31.7.2024.",2,2024,,1,1,1
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,3,2,Prvi pregled kod Sajka kao i susret s njim prije i poslije operacije bio je ugodan i profesionalan.,2,2024,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,3,3,Profesionalac koji unaprijed zna sto pocijenta zanima i bez ikakvih dodatnih pitanja dobijete odmah sve bitne i kljucne informacije.,2,2024,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,4,1,"Pređeni kilometri uzaludno za 4 minute pregleda i 750 kn , izvikani , bahati i čak bi se usudio reći slab sa živcima.",0,2024,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,4,2,Ne preporučam .,0,2024,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,5,1,Vrhunski odrađena operacija.,2,2023,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,5,2,"Svakodnevna kontrola, detaljno objašnjenje svih mojih pitanja.",2,2023,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,6,1,"Tomislav Sajko jedan je izuzetan liječnik i još bolji čovjek, svijetla točka našeg zdravstva.",2,2023,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,6,2,Prije 3 mjeseca je operirao mog svekra (diskus hernija - ekstruzija diska) i vratio ga u život.,2,2023,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,8,1,"Doktor koji uništava kičme , a nitko mu ništa ne može...",0,2023,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,8,2,Dno dna da takav Doktor uopće smije operirati pacijente nakon svih neuspješnim operacija.,0,2023,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,8,3,Sama sam jedna od njih.,0,2023,,1,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,12,1,"Nakon 3 operacije kralježnice i stabilzacije kralježnice , doktor je rekao da ne vidi cemu bol, onda me je poslao na CT gdje se vidjelo da je implantat ispao u spirani kanal ..",0,2022,,1,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,12,2,"to je izvadio , bolovi mi ne staju ni nakon toga, doktor se ne javlja uopće niti vidi razlog moje boli....",0,2022,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,19,1,"Pozdrav, Pišem ovaj komentar zbog svoje svoje tete koja je bila kod dr. Sajka na operaciji kralježnice.",0,2019,,1,1,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,1,"Doktorica Ulla Marton je vodila obje trudnoće našeg djeteta, i oboje su bile rizične.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,2,"Tragajući za liječnikom koji će biti u stanju prepoznati zdravstveno stanje i voditi u razdoblju nesigurnosti u plodnost, nije bilo lako.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,3,Doktorica Manda Marton je na prvom pregleda napravila ogroman zaokret u pogledu pojašnjenja i vodstva.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,4,"Nakon toga je dr.Ulla Marton nastavila voditi cijelu trudnoću, sve do poroda na KB Sveti Duh.",2,2025,,1,2,2
